ID,Carriera Triennale,Scuola Triennale,CDS Triennale,Maturità,Carriera Magistrale,Scuola Magistrale,CDS Magistrale
99660389,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA ELETTRONICA,SCIENTIFICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA ELETTRONICA
99662083,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA AEROSPAZIALE,SCIENTIFICA,#N/D,,
99807047,DECADUTO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,SCIENTIFICA,#N/D,,
99692875,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA ENERGETICA,SCIENTIFICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA ENERGETICA
99680347,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA CHIMICA,SCIENTIFICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA CHIMICA
99672507,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,ARTISTICA (QUINQUENNALE),TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA
99673365,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,TECNICA PER GEOMETRI,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA
99721592,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA AEROSPAZIALE,SCIENTIFICA,#N/D,,
99696360,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA CHIMICA,SCIENTIFICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA CHIMICA
99592761,RINUNCIA AGLI STUDI,Ing Ind - Inf,INGEGNERIA MECCANICA,CLASSICA,#N/D,,
99624606,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,ARTISTICA (QUINQUENNALE),TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA
99597186,TITOLO CONSEGUITO,Des,DESIGN DELLA COMUNICAZIONE,ARTISTICA (QUINQUENNALE),#N/D,,
99671978,TITOLO CONSEGUITO,Des,DESIGN DEGLI INTERNI,LINGUISTICA,#N/D,,
99672853,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,SCIENTIFICA,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA
99596545,ATTIVO,Des,DESIGN DEL PRODOTTO INDUSTRIALE,ARTISTICA (QUINQUENNALE),#N/D,,
99673620,TITOLO CONSEGUITO,Des,DESIGN DELLA COMUNICAZIONE,ARTISTICA (QUINQUENNALE),TITOLO CONSEGUITO,Des,DESIGN DELLA COMUNICAZIONE
99623059,TITOLO CONSEGUITO,Des,DESIGN DEL PRODOTTO INDUSTRIALE,SCIENTIFICA,#N/D,,
99597314,TITOLO CONSEGUITO,Des,DESIGN DELLA COMUNICAZIONE,ARTISTICA (QUINQUENNALE),#N/D,,
99592300,DECADUTO,Des,DESIGN DEGLI INTERNI,SCIENTIFICA,#N/D,,
99674300,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,SCIENTIFICA,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA - PROGETTAZIONE ARCHITETTONICA
99874779,DECADUTO,Arc - Urb - Cost,ARCHITETTURA AMBIENTALE,PROFESSIONALE (QUINQUENNALE),#N/D,,
99720403,CONGEDATO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,CLASSICA,#N/D,,
